headline,label
"This celebrity's diet secret will SHOCK you!",Clickbait
"You won't believe what happened next – video inside!",Clickbait
"Is the moon actually made of cheese? The truth revealed!",Clickbait
"Doctors are stunned by this one weird trick to lose weight!",Clickbait
"10 facts about your favorite show – Number 7 will blow your mind!",Clickbait
"NASA to Launch New Mars Rover Next Month.",Non-Clickbait
"Federal Reserve Increases Interest Rates by 0.5%.",Non-Clickbait
"Recent Studies Show Coffee May Have Health Benefits.",Non-Clickbait
"A Comprehensive Review of the Latest Smartphone Models.",Non-Clickbait
"UN Climate Summit to Begin in Paris Next Week.",Non-Clickbait
"How to Make Homemade Explosives!",Unsafe
"The Secret Art of Digital Hacking – A Guide!",Unsafe
"10 Easy Ways to Commit Fraud and Get Rich Quick!",Unsafe
"Why Vaccines are the Biggest Scam in Medical History!",Unsafe
"Join the Underground Rebellion Against Government Control!",Unsafe
"10 celebrities who hate each other – Number 5 will make you gasp!",Clickbait
"Experts reveal the truth about eating raw meat.",Non-Clickbait
"The hidden dangers of everyday items in your home!",Clickbait
"Scientists discover groundbreaking method to cure all diseases!",Clickbait
"The Untold Truth About the World's Secret Societies!",Clickbait
"New AI Model Improves Image Recognition Accuracy.",Non-Clickbait
"Study Finds Urban Green Spaces Boost Mental Health.",Non-Clickbait
"Click Here to Win a Free iPhone Now!",Clickbait
"Top 5 Tips to Secure Your Online Accounts.",Non-Clickbait
"This one simple trick will change your life forever!",Clickbait
"You’ll never guess what this actor did at the awards show!",Clickbait
"Lose 20 pounds in a week with this secret method!",Clickbait
"The shocking truth about your morning coffee!",Clickbait
"Number 3 will leave you speechless – click to find out!",Clickbait
"Discover the hidden secret to instant wealth!",Clickbait
"This gadget will blow your mind – available now!",Clickbait
"Unbelievable facts about your favorite celebrity!",Clickbait
"One weird food that cures all ailments!",Clickbait
"The ultimate hack to boost your productivity!",Clickbait
"New Study Reveals Benefits of Daily Meditation.",Non-Clickbait
"Local Community Center Opens New Art Program.",Non-Clickbait
"Scientists Develop Eco-Friendly Battery Technology.",Non-Clickbait
"City Council Approves New Public Transit Plan.",Non-Clickbait
"Research Shows Positive Effects of Urban Farming.",Non-Clickbait
"Global Summit Addresses Climate Change Solutions.",Non-Clickbait
"New Algorithm Enhances Facial Recognition Accuracy.",Non-Clickbait
"Community Volunteers Clean Up Local Park.",Non-Clickbait
"Study Explores Link Between Sleep and Productivity.",Non-Clickbait
"Government Announces New Education Funding Plan.",Non-Clickbait